        1 17     419996999699969996
        1 33     81-266-119  55  82
        1 33     91-386-443-351-334
        1 37     61-335-164  48  99
        1 37     71-172-128 -66 -34
        1 45     41-267-235-116 -81
        1 45     51-329-365-242-232
        1 49     31-143-114 -24 -42
        1 53     41-276-285-199-153
        1 57     51-197-239-200-170
        1 61     41-405-131 102 189
        1 65     41-325-198   1  33
        1 65     519998999899989998
        1 73     41 -75-120-111-112
        1 73     51-402-227 119  25
        1 85     319998999899989998
        1 93     41-291-209 -63 -18
        1 93     51-277-137  59  37
        1101     81-548-372 -92  19
        1105     51-287 -99 102 129
        1105     61-324-147  24  73
        2  4     41-217-176 -85 -52
        2 12     21-131-167-122-123
        2 28     51-309-267-109 -80
        2 28     61-108 -46  68  19
        2 60    121-296-163  22  51
        2 68     61 194   3-179-185
        2 76     41-268-149   8  48
        2 76     51-174 -36 162  83
        2 84     61-219 -87  50  85
        2100     41-378-238 -22  34
        2108     61-377-409-272-235
        2108     719998999899989998
        2140     51-174 -69  61  67
        2140     61-128-146 -97-100
        2148     31-257-200 -95 -51
        2164     41-303-186 -18  26
        2188     61-175 -21  91 120
        2196     41-228 -54  98 127
        2204     31-230-143 -19   7
        2212     31-258-229-105 -85
        3 44     31-294-307-206-171
        3 53     41-262 -95  84 110
        3 98     41 -53-105-109-106
        3125     31-301-329-241-192
        3125     41-209-182 -51 -79
        3134     41-169-142 -59 -46
        3143     31-506-425-235-137
        3143     41  56 102  80 100
        3152     81-221-158 -28 -26
        3152     91 -26 -95-112-111
        3206     21-243-111  47  79
        3206     31-167 -86 -13  20
        3215     31-436-419-266-197
        3215     41 -49 -31  17 -10
        3224     51-197 -97   8  37
        3224     61-256-150  -3  34
        3224     71-439-435-281-215
        3242     81-397-242  -9  50
        3242     91-183-395-397-402
        4 11     61-265-138  10  50
        4 18     21-187-212-147-135
        4 18     31-162-225-201-178
        4 25     31-368-275 -64 -29
        4 25     41-110-195-191-183
        4 46     31-103-124 -91 -91
        4 46     41-213-164 -71 -40
        4 60     41-332-255 -92 -42
        4 60     51-287-241-110 -91
        4 67     31-192-157 -58 -51
        4 67     41-208-318-308-285
        4 74     41-270-160 -15  23
        4 81     51-178 -71  39  66
        4 88     31 -96-224-225-231
        4116     51-284-202 -44 -17
        4116     61-142-152 -87 -93
        4151     61-225-150 -32  -1
        4151     71-191-275-236-229
        4165     31-234-137   8  30
        4165     41-162-202-156-147
        4172     21-230-264-188-167
        4179     61-236-155 -14   3
        4179     71-439-336-132 -61
        4186     31 -85  53 153 137
        4196     21-218-134 -21  10
        5  5     41-196-102  23  34
        5  5     51-152 -88 -16   0
        5 19     719996999699969996
        5 33     91-254-192 -59 -33
        5 33    101 -43-145-156-165
        5 47     41-246-174 -41 -17
        5 47     51 -77-236-261-265
        5 54     71-463-315-109 -17
        5 68     41-352-328-162-128
        5 68     51-281-296-223-176
        5 96     61-190-310-285-279
        5138     31   0 260 371 382
        5166     41-496-266  49 126
        5187     61 -10-244-366-375
        5187     71 335 -19-272-275
        6  3     61-348-203   2  54
        6  3     71-455-325  98 -64
        6 11     41-158-133 -55 -44
        6 11     51-141-113 -52 -39
        6 19     41-314-171  16  64
        6 27     41 -82 -99 -80 -74
        6 27     51  -6  13  19  21
        6 34     31 101   5 -82 -69
        6 43     31-153-182-139-127
        6 43     41-170-128 -52 -31
        6 51     71-279-340-254-228
        6 51     81-316-334-261-206
        6 67     51-299-283-162-118
        6 67     61 -85-258-284-288
        6 75     31  -4-111-142-149
        6 83     41-229-123  21  36
        6 91     31-226-106  36  66
        6 91     41-365-310-130-114
        6115     61-118-152-124-118
        6115     71-446-506-328-366
        6123     31-315-294-140-112
        6131     41-274-228 -90 -63
        6139     61-439-195  89 165
        6147     61-411-191  92 133
        6147     71 -23 -85-132-105
        6155     61-352-228 -14  17
        6155     71-416-377-236-185
        6163     71 -91-229-268-270
        6171     31-294-291-162-133
        6171     41-285-249 -51-110
        6179     61   3 -17 -27 -31
        6179     71-295-273-159-121
        6187     41-108-101 -53 -48
        6203     31-382-236   5  41
        6203     419998999899989998
        7  1     319996999699969996
        7 15     71-375-274-116 -40
        7 22     41-312-149  50  85
        7 29     31 -72-116-126-116
        7 36     31-166 -92   0  20
        7 36     41 276-129-342-384
        7 50     41-229 -73  79 115
        7 57     61-273-139  36  70
        7 57     71   8-133-197-189
        7 85     31-237-165 -37 -13
        7 85     41-438-358-158-135
        7 92     41-305-252-113 -71
        7 99     71-173-124 -45 -19
        7 99     81-450-441-313-268
        7113     51-220-198-105 -82
        7127     51-260-115  52  80
        7127     61 -49-157-177-178
        7155     41-365-336-214-163
        7162     41-348-189  31  70
        7176     31-294-240 -93 -63
        7183     21-272 -68 179 125
        8  3     51-256 -63 108 149
        8 24     31-219-100  58  68
        8 24     41 -77 -49 -15  -6
        8 31     61-319-187   6  40
        8 38     41-267-248-127-102
        8 38     61-155-207-168-162
        8 38     71-352-198 -28  27
        8 45     21 123  11-183 -72
        8 80     81-196-119 -15   6
        8 80     91 -82 -87 -43 -55
        8 94     31 299 -20-247-311
        8136     51-145-239-238-225
        8136     61-255-194 -90 -44
        8143     71-180-132 -42 -24
        8143     81 -33  68 106 118
        8150     41 -96 200 342 338
        8185     51-217-127   7  17
        8185     61-100-174-169-164
        9  8     31 -35 -63 -49 -59
        9 16     41-422-478-343-313
        9 32     61-221-247-185-164
        9 48     41-279-309-204-179
        9 48     51-510-447-281-183
        9 88     31-334-221 -36  14
        9 88     41-254-136 -19  29
        9120     41-451-227  29 120
        9128     31-102-159-145-144
        9136     61-182-160 -82 -65
        9152     61-346-265 -70 -36
        9152     71-309-504-446-471
        9168     51-368-288 -80 -52
        9192     41-121-130 -93 -82
        9200     41-206-149 -43 -23
        9208    101-153 -71  32  37
       10 11     419996999699969996
       10 11     51-326-218 -63  -6
       10 16     81-330-281-136 -92
       10 26     31-412-393-198-161
       10 31     51-256-186 -51 -18
       10 41     51 130 -34-137-159
       10 46     51  60  -2 -58 -50
       10 51     41-418-247  -7  60
       10 56     41-252-106  65  82
       10 56     51-127 -73 -23   1
       10 61     51-172-175-107 -96
       10 61     61-322-374-314-271
       10 66     31-144-129 -74 -58
       10 71     41-315-310-193-144
       10 71     51 167  58-135 -44
       10 76    121-193-106   7  32
       10 81     41  21 -63-119-119
       10 81     51 149 -11-129-159
       10 96     61-346-245 -49 -10
       10 96     71  24 -28 -55 -61
       10101     31-152-174-131-119
       10101     41 -94-262-303-296
       10106     41-191-236-184-165
       10111     71-250-214 -95 -70
       10111     81-360-254-102 -44
       10116     31-178-204-164-137
       10116     41  54-109-181-194
       10126     31 -72  57 118 134
       10131     319999999999999999
       11  5     51-284-182 -16  11
       11  5     61-390-378-255-212
       11 13     81-206-107  31  32
       11 13     91 -33 -93 -92 -99
       11 21     71-511-347 -30  33
       11 29     51-215-145 -28  -8
       11 37     61-198 -63  63  87
       11 45     41-269-203 -86 -41
       11 61     41-188-156 -59 -56
       11 69     81-148-157-106 -94
       11 85     51-171-199-150-133
       11 85     61 -66 -42 -15  -5
       11101     81-218-171 -76 -48
       11141     51-394-261 -45  15
